"","recipient_country_code","total_entries","total_spent","geolocation_entries","exactness_entries","geolocation_percentage","exactness_percentage"
"1","KH",13824,32141208648.9681,11438,4399,0.82740162037037,0.318214699074074
"2","CO",42295,162165411197.13,27325,28261,0.646057453599716,0.668187729045987
"3","DJ",3650,2166231304.50555,3257,1350,0.892328767123288,0.36986301369863
"4","EG",21791,90771538126.3103,20531,5407,0.942177963379377,0.248129961910881
"5","JM",7508,8611498632.0052,4108,4817,0.547149706979222,0.64158231220032
"6","LB",20260,96622455011.8548,16067,6618,0.793040473840079,0.326653504442251
"7","MR",10940,6818586893.50286,9192,4288,0.840219378427788,0.391956124314442
"8","PG",7267,7902554148.59485,7081,1361,0.974404843814504,0.187284986927205
"9","GE",13603,45428253937.9602,10680,5600,0.785120929206793,0.411673895464236
"10","TZ",33234,129217229211.259,26194,11818,0.788168742853704,0.355599687067461
"11","CK",71,11098592.92,71,36,1,0.507042253521127
"12","UY",8917,27104634609.1257,8702,5633,0.975888751822362,0.631714702254121
"13","MG",19950,37049624898.5987,17184,6280,0.861353383458647,0.314786967418546
"14","MU",1103,2183270099.39998,920,429,0.834088848594742,0.388939256572983
"15","MN",12585,8716326796.34418,9943,3264,0.790067540723083,0.259356376638856
"16","MV",1771,597679135.885265,1476,609,0.833427442123094,0.343873517786561
"17","TM",944,257764084.845757,702,769,0.74364406779661,0.814618644067797
"18","EC",12856,85205977049.8163,10677,7422,0.830507156191661,0.577317983820784
"19","ER",2069,10860896205.8482,2059,1244,0.99516674722088,0.601256645722571
"20","SB",1987,409770251.2226,1962,402,0.987418218419728,0.20231504781077
"21","NI",60611,68409080845.7594,57661,38764,0.951328966689215,0.639553876359077
"22","PK",30074,161756864376.94,22211,17856,0.73854492252444,0.593735452550376
"23","SN",32107,59386444993.6683,27648,12611,0.861120627900458,0.392780390569035
"24","HN",94599,228301602497.421,81599,40337,0.862577828518272,0.426399856235267
"25","LK",16440,70881731197.1666,15070,5170,0.916666666666667,0.314476885644769
"26","AR",34634,384025364885.628,31777,13370,0.917508806375238,0.386036842409193
"27","GT",52821,56317816111.9863,37895,45783,0.717422994642282,0.866757539614926
"28","RW",18369,21479895278.3519,14143,6816,0.769938483314279,0.371059937938919
"29","GW",4633,4403876785.493,4411,1274,0.952082883660695,0.274983811785021
"30","SC",464,131040117.825174,452,303,0.974137931034483,0.65301724137931
"31","SL",11417,9592485434.9974,9281,4489,0.812910571954104,0.393185600420426
"32","ZW",6555,7307450592.17245,4811,4337,0.73394355453852,0.661632341723875
"33","NP",106871,1862184168962.18,104417,87254,0.977037737084897,0.816442252809462
