"CountryCode","SeriesCode","DESCRIPTION",
"AFG_Badakhshan_AF.BD_272_AFG001","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Badakhshan_AF.BD_272_AFG001","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Badghis_AF.BG_273_AFG002","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Badghis_AF.BG_273_AFG002","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Baghlan_AF.BL_274_AFG003","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Baghlan_AF.BL_274_AFG003","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Balkh_ District_3477","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Balkh_ District_3477","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Bamyan_AF.BM_276_AFG005","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Bamyan_AF.BM_276_AFG005","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
